Time,Signal,Inhibition
1.15,13.634,#N/A
1.154,13.773,#N/A
1.157,13.975,#N/A
1.16,14.244,#N/A
1.164,14.584,#N/A
1.167,14.998,#N/A
1.17,15.487,#N/A
1.174,16.055,#N/A
1.177,16.706,#N/A
1.18,17.445,#N/A
1.184,18.278,#N/A
1.187,19.214,#N/A
1.19,20.259,#N/A
1.194,21.422,#N/A
1.197,22.705,#N/A
1.2,24.102,#N/A
1.204,25.59,#N/A
1.207,27.129,#N/A
1.21,28.654,#N/A
1.214,30.079,#N/A
1.217,31.299,#N/A
1.22,32.208,#N/A
1.224,32.708,#N/A
1.227,32.724,#N/A
1.23,32.222,#N/A
1.234,31.208,#N/A
1.237,29.739,#N/A
1.24,27.909,#N/A
1.244,25.838,#N/A
1.247,23.658,#N/A
1.25,21.499,#N/A
1.254,19.469,#N/A
1.257,17.652,#N/A
1.26,16.102,#N/A
1.264,14.84,#N/A
1.267,13.862,#N/A
1.27,13.149,#N/A
1.274,12.666,#N/A
1.277,12.376,#N/A
1.28,12.242,#N/A
1.284,12.228,#N/A
1.287,12.303,#N/A
1.29,12.44,#N/A
1.294,12.617,#N/A
1.297,12.819,#N/A
1.3,13.035,#N/A
1.304,13.26,#N/A
1.307,13.49,#N/A
1.31,13.723,#N/A
1.314,13.959,#N/A
1.317,14.197,#N/A
1.32,14.439,#N/A
1.324,14.685,#N/A
1.327,14.94,#N/A
1.33,15.205,#N/A
1.334,15.482,#N/A
1.337,15.773,#N/A
1.34,16.078,#N/A
1.344,16.4,#N/A
1.347,16.741,#N/A
1.35,17.103,#N/A
1.354,17.49,#N/A
1.357,17.902,#N/A
1.36,18.342,#N/A
1.364,18.812,#N/A
1.367,19.314,14.2898
1.37,19.848,#N/A
1.374,20.417,#N/A
1.377,21.027,#N/A
1.38,21.682,#N/A
1.384,22.392,#N/A
1.387,23.167,#N/A
1.39,24.014,#N/A
1.394,24.942,#N/A
1.397,25.955,#N/A
1.4,27.058,#N/A
1.404,28.254,#N/A
1.407,29.542,#N/A
1.41,30.927,#N/A
1.414,32.416,#N/A
1.417,34.017,#N/A
1.42,35.741,#N/A
1.424,37.598,#N/A
1.427,39.591,#N/A
1.43,41.712,#N/A
1.434,43.929,#N/A
1.437,46.183,#N/A
1.44,48.385,#N/A
1.444,50.406,#N/A
1.447,52.087,#N/A
1.45,53.25,#N/A
1.454,53.717,#N/A
1.457,53.345,#N/A
1.46,52.045,#N/A
1.464,49.812,#N/A
1.467,46.72,#N/A
